Time,Tissue,Region 1,Region 2,Region 3,Region 4,Region 5,Region 6,Region 7,Region 8
0.0,0.0,244.52714652623786,230.63328521357454,225.82612378255868,261.9363486978004,263.8035036881687,269.73288699950075,262.55125596694376,297.46635325784035
0.015342129487572874,0.0,244.75246853583096,230.73095184380202,225.22499267094756,258.48242974148684,260.89053706323097,266.6590676204485,261.1973095022761,292.7840903128091
0.030684258975145748,0.0,245.23607671720245,230.08517624523816,224.29903745800797,263.8821249522942,259.9560407606942,266.42162946142196,261.73183966492286,288.09586239893366
0.04602638846271862,0.0,245.08506626438756,229.55365744318954,223.2741627100351,272.652653254132,260.44697737561813,265.86260982758546,261.9157423317514,283.6059015064848
0.061368517950291496,0.0,244.1906322584843,229.17674539315982,222.29772632198538,281.34065783394465,261.7862832118873,264.13502002128655,261.2330842111046,279.3560475610552
0.07671064743786436,0.0,242.82108045242128,228.71042574058956,221.43879958726018,288.0516308753589,263.4817754169035,261.64656453060644,260.0407060146552,275.3187980006471
0.09205277692543724,0.0,241.34461887444664,227.9615991929369,220.69962940883752,292.03327467646875,265.18483244762035,259.29224880468047,258.97442005501546,271.4568719535327
0.10739490641301011,0.0,240.0619045961174,226.95868282969957,220.03502635551908,293.3129422745215,266.7079521408012,257.9384222026343,258.5745026831259,267.7550347054961
0.12273703590058299,0.0,239.12832001056742,225.99056067597948,219.3764022670589,292.38930070027186,268.0102916603826,258.12080270297906,259.0931819794484,264.2299281450634
0.13807916538815587,0.0,238.54595296683345,225.54691086519045,218.65718111194192,289.97835998476785,269.16029359482593,259.9190299603109,260.44682111298823,260.92365287533005
0.15342129487572873,0.0,238.20525508620344,226.19293669768498,217.8363067834563,286.8140110174773,270.2845024548514,262.9702932742904,262.27549776035846,257.8868476595364
0.1687634243633016,0.0,237.78665963243162,228.81706329267126,216.751056619883,283.6231011303463,271.67388672693073,266.2870106089839,263.7061196198569,255.2602131926199
0.1841055538508745,0.0,237.28183950002727,232.88497708893917,215.73750381502077,280.4921770674547,272.93776527178045,269.61517424157,264.8056563292813,252.92676639737317
0.19944768333844737,0.0,236.91729500711892,238.4926619048231,214.98644538051556,277.9833082531064,274.76312573863197,271.98941974282724,265.453714274474,250.53982942648523
0.21478981282602022,0.0,237.29357295157044,245.15657645813002,214.5847019984818,275.8579271080654,276.2926649176862,272.69343847206613,265.32696366327184,248.16337976483456
0.2301319423135931,0.0,238.2047656614913,251.85500403372626,214.6210058460205,272.9756764717241,277.2378545331904,271.78144859587087,264.715722366327,246.52334233859597
0.24547407180116598,0.0,239.64874082807606,257.7209691271826,214.44743299330662,269.50604167222093,278.31778901954505,269.5549238981525,264.03636794076306,245.4017747713018
0.26081620128873884,0.0,241.47942344222952,261.93559889216795,214.3809708585264,266.1675798609383,279.36738597515694,266.95293782375234,263.46430390355727,243.49146113386652
0.27615833077631174,0.0,243.91901662578016,265.43816675892873,214.54690060119475,263.77842303390554,280.1408853300145,264.6748896675782,262.79927305331563,240.82152470618425
0.2915004602638846,0.0,245.84186044857248,267.562498363884,214.35255277280447,262.8158765102248,281.18434717581164,262.8261809404436,261.88607155819983,237.77925877470867
0.30684258975145745,0.0,247.25875836359987,268.6598412818802,214.0536359073094,263.9140915984541,281.6509062261017,260.65556914084357,260.5699396087058,235.4727238256479
0.32218471923903036,0.0,247.95582085826243,269.03869418934164,213.82261298109236,267.39177574214983,281.68466436147264,258.29048407287974,259.52061820934904,235.68410343898853
0.3375268487266032,0.0,247.7235556692302,268.5621005516936,213.77567313960623,272.91240965143857,281.4824406694356,256.1159935417556,258.2235784501103,238.72413451499145
0.35286897821417607,0.0,246.98532721868233,267.51997250276906,213.04463262160013,278.87130233943805,281.053866288182,255.0502101361751,257.31183290413577,245.0424759502444
0.368211107701749,0.0,246.00150486687593,266.094712916716,212.20689739999705,285.5028006783787,280.0538794119532,255.41601323526794,256.65732929621294,254.235921148168
0.3835532371893218,0.0,244.98841516713895,264.37456166646064,211.58829513356247,290.2047417249385,278.69910525291874,257.3912987605473,257.3791069798008,265.25856213531716
0.39889536667689474,0.0,244.52797551575534,262.585611541147,211.35219850984302,293.5394909459235,277.1808796826043,260.2853915327725,258.69941994894486,276.6850067187663
0.4142374961644676,0.0,244.20754480991832,260.73833686171577,211.87053195400557,293.9540031180706,275.63766169918154,263.5809288944659,260.27870607905663,287.4834574457362
0.42957962565204044,0.0,243.6650165967922,259.06176758455166,213.05746705642264,293.04828610999596,274.17257602382205,266.69225022248986,262.17059344714886,296.3472171794317
0.44492175513961335,0.0,243.00508028709353,257.89176923749994,215.5931361812972,290.4991258496572,272.7134616530135,268.6460761479531,263.88805544067213,302.3050575677692
0.4602638846271862,0.0,242.41994756541513,256.58150101237976,219.9436322260766,287.35460892466114,271.44755895217037,269.1244801328847,264.71146307445866,304.97477662978133
0.47560601411475906,0.0,241.43067419036979,255.2660740082839,225.07195669989167,284.11205892090356,269.9809217081807,267.94614277504974,264.96145087465845,305.6060885850204
0.49094814360233197,0.0,240.024302384241,253.80881724347245,230.985394198567,280.4424070138084,268.1726395593263,265.8694458269638,264.4529195577457,304.79406140610337
0.5062902730899048,0.0,238.42322188329072,251.97662192380704,236.67001449998324,277.0218966251205,266.6578852145843,263.9145224662858,263.82680920735413,303.00334317192136
0.5216324025774777,0.0,236.9521745490666,250.1283735070589,242.24623382402422,274.4504354978529,265.05373554474465,262.25775010509835,262.91579538846065,299.4016825586312
0.5369745320650505,0.0,236.91729500711892,248.6240467281971,247.16054580977854,272.1037331335782,263.694093149454,260.9268342296545,261.596680690047,294.9060754871841
0.5523166615526235,0.0,237.3842623788648,247.59343300974217,250.721572031131,269.4990579779938,262.6425721019097,259.35709801475605,260.73288346881174,290.009141704901
0.5676587910401963,0.0,238.71497885365653,246.7635164715758,253.3792079948758,266.619664891255,262.0776611587283,257.9108686229717,260.1881195918233,284.92020789933
0.5830009205277692,0.0,241.28803424563037,246.19819394455,255.60641358403444,264.22565861626407,261.70634142578797,257.1194047815309,259.9347370868122,280.6860686532213
0.598343050015342,0.0,244.0696994206862,245.42143990798732,257.2765326689808,262.7893504892818,262.33194183465656,257.7205844309409,259.80932115159726,276.85225573539225
0.6136851795029149,0.0,246.78219004627783,244.98629607292963,258.1843130161182,262.8158765102248,263.5051653037814,259.7140682190355,259.182386346346,273.3637142019715
0.6290273089904879,0.0,248.80835918520236,244.24322470357276,258.6155694664923,265.1437274121165,265.2270939340829,262.89301347154776,258.2829532450667,270.17804076803105
0.6443694384780607,0.0,249.05356034032772,243.38692275884563,258.8919350914876,269.7714738585994,266.63751343583664,266.6084096112564,257.6281037718939,266.8822736800353
0.6597115679656336,0.0,248.4315686878614,242.1546681862304,259.07811154215455,276.0177546907136,268.0668509236521,270.12353905796596,257.7114682114589,263.4715888374893
0.6750536974532064,0.0,247.05175601076067,240.85199067846756,259.2243833155569,283.2670281098458,269.5184317000484,272.4965001404944,258.1228277534667,260.3312675168714
0.6903958269407793,0.0,245.4426232529322,239.6029618102985,259.1394437699877,289.7008225679522,270.7843149504561,273.58179322258366,259.24483545231845,257.4855898964146
0.7057379564283521,0.0,243.96661535239255,238.67111221679832,258.6784021846147,294.4057967593026,271.85803356535746,273.02978643418277,260.757423887309,254.66534516942488
